,Unnamed: 0,ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,engine_capacity,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url,price_in_billion
5411,5411,4737254,Domestic assembly,Used car,Sedan,50,Red,Black,4,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,8.7, Ì› Ì›Ì Ì‚Ì Ì£Ì‚ Ì£Ì‚ - Production: 2022- Registration: 2022- Genuine warranty until 2025Save 250 million compared to a new car of the same versionPriority for customers to pay directly and deliver the car immediately at unbelievably good prices for decisive customers,Mercedes-Benz,E200,2022.0,Mercedes Benz E class E200 Exclusive 2022,2 Billion 399 Million,https://bonbanh.com/xe-mercedes_benz-e_class-e200-exclusive-2022-4737254,2.399
5432,5432,4738061,Domestic assembly,Used car,Sedan,10,White,Black,4,5,Petrol,1.6,Manual,FWD - Front-wheel drive,10.9," 2014 KIA K3 MT version, guaranteed to be genuine, no minor defects, private car, one owner from the beginning. Viewed the car in Kinh Mon town, Hai Duong.",Kia,K3,2014.0,Kia K3 1.6 MT 2014,355 Million,https://bonbanh.com/xe-kia-k3-1.6-mt-2014-4738061,0.355
5545,5545,4744692,Domestic assembly,Used car,Van/Minivan,1,Black,Cream,5,7,Diesel,2.2,Automatic,FWD - Front-wheel drive,12.1,"Lucky Car just arrived Kia Sedona full diesel 2019. The car is fully equipped with the line's amenities, beautiful interior and exterior, spotless. Committed to extremely high quality cars! Contact now to view the car",Kia,Sedona,2019.0,Kia Sedona 2.2 DAT Luxury 2019,968 Million,https://bonbanh.com/xe-kia-sedona-2.2-dat-luxury-2019-4744692,0.968
5608,5608,4747427,Domestic assembly,Used car,SUV,50,Black,Cream,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4,Mercedes Hoan Kiem Opens for Sale GLC200 4MaticColor: black Interior: creamManufactured: 2022Registration: 2022Rolling: 50kmOFFICIAL MERCEDES HOAN KIEM 3-year genuine warranty. You can press the new license plate yourself. Preferential treatment like buying a new car. Contact us for detailed advice and to receive attractive incentives,Mercedes-Benz,GLC200,2022.0,Mercedes Benz GLC 200 4Matic 2022,2 Billion 69 Million,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2022-4747427,2.069
5651,5651,4748739,Imported,Used car,Hatchback,62,White,Black,5,5,Petrol,1.5,Automatic,FWD - Front-wheel drive,6.3," Toyota Yaris 2016 automatic transmission, imported from Thailand, original Vung Tau car, one owner since new, car guaranteed to be original to every screw, interior still smells new. For a good price, please see the car in person",Toyota,Yaris,2016.0,Toyota Yaris 1.5G 2016,435 Million,https://bonbanh.com/xe-toyota-yaris-1.5g-2016-4748739,0.435
5700,5700,4750807,Domestic assembly,Used car,Sedan,50,Black,Brown,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,4.4, Genuine MercedesBenz liquidates the MercedesC200 Avantgarde Plus version V1 2022 and has only rolled 50km...Black color with brown interior. Genuine warranty for 3 years from the date of first registration. Buying a car at a genuine company gives you complete protection. Rest assured the quality of the vehicle has been thoroughly inspected. Please contact directly,Mercedes-Benz,C200,2022.0,Mercedes Benz C class C200 Avantgarde Plus 2022,1 Billion 859 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-plus-2022-4750807,1.859
5784,5784,4753672,Imported,Used car,SUV,10,Green,Red,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),12.7," Porsche Macan model 2023 Blue interior Red Manufactured 2022 Brand new car, owner never uses it so selling Ace is interested, please call me!",Porsche,Macan,2022.0,Porsche Macan 2.0 2022,3 Billion 399 Million,https://bonbanh.com/xe-porsche-macan-2.0-2022-4753672,3.399
5828,5828,4756442,Domestic assembly,Used car,SUV,1,Silver,Brown,4,8,Diesel,2.5,Manual,RFD - Rear-wheel drive,11.8,Fortuner 2012 MT diesel engine (excellent engine compared to its predecessor) Nice car with all the necessary features for you. Add a little fuel to the car so you can easily finalize.,Toyota,Fortuner,2012.0,Toyota Fortuner 2.5G 2012,535 Million,https://bonbanh.com/xe-toyota-fortuner-2.5g-2012-4756442,0.535
5967,5967,4762280,Domestic assembly,Used car,SUV,10,Green,Cream,5,8,Diesel,2.5,Manual,RFD - Rear-wheel drive,6.5,"Due to non-use needs, I need to sell the 2006 ISUZU HILANDE FULL EDITION Hanoi license plate. 5 brand new tires, sporty cast wheels, bright and clear car lights, fully equipped with original car headlights. Cream-colored interior with genuine leather seats, original felt ceiling, 2 deeply cool air conditioners, electric mirrors. The engine starts smoothly, the car is regularly maintained, my car is used by my family so the car is in good condition, anyone can just buy it and take it home. Especially the car can seat 7 people and is especially economical at only 6-7km/h Ai If you want to contact me soon",Isuzu,Hi_lander,2006.0,Isuzu Hi lander V-spec 2.5 MT 2006,158 Million,https://bonbanh.com/xe-isuzu-hi_lander-v-spec-2.5-mt-2006-4762280,0.158
6088,6088,4766822,Domestic assembly,Used car,Sedan,9,Black,Brown,4,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,8.7,"Selling E300 black and brown 2022, beautiful as new, bank loan support 75% of car value, anyone interested, call",Mercedes-Benz,E300,2022.0,Mercedes Benz E class E300 AMG 2022,2 Billion 350 Million,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2022-4766822,2.35
6109,6109,4768468,Domestic assembly,Used car,Sedan,3,Red,Colorful,4,5,Petrol,1.4,Automatic,FWD - Front-wheel drive,6.7,"Hyundai Accent 1.4 ATH, special edition, manufactured in 2020, car in personal name, 1 owner from new, tires still on the car, interior and exterior are very new, including a convenient garage test",Hyundai,Accent,2020.0,Hyundai Accent 1.4 ATH 2020,460 Million,https://bonbanh.com/xe-hyundai-accent-1.4-ath-2020-4768468,0.46
6139,6139,4769240,Domestic assembly,Used car,SUV,50,Black,Brown,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4," - Black color, brown interior Used: 50 Km Genuine 3-year warranty Transparent and clear vehicle history",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 479 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4769240,2.479
6190,6190,4770892,Domestic assembly,Used car,Sedan,50,Grey,Black,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,4.4, Genuine C200 Plus Surf 30 km Vip license plate Save up to 300 million compared to a new car SG VIP license plate: 555.79 (Great God of Fortune) Genuine warranty until 2025Best dealContact me,Mercedes-Benz,C200,2022.0,Mercedes Benz C class C200 Avantgarde Plus 2022,1 Billion 789 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-plus-2022-4770892,1.789
6251,6251,4772716,Imported,Used car,Sedan,9,Silver,Orange,4,5,Petrol,1.25,Manual,FWD - Front-wheel drive,6.6, Huynhd i10 Sx 2016 Sedan Full version imported car in complete condition with original kg taxi,Hyundai,i10,2016.0,Hyundai i10 Grand 1.2 MT 2016,285 Million,https://bonbanh.com/xe-hyundai-i10-grand-1.2-mt-2016-4772716,0.285
6318,6318,4775163,Imported,Used car,Sedan,67,Black,Grey,4,5,Petrol,1.6,Automatic,FWD - Front-wheel drive,7.8,"Mercedes-Benz CLA 200 model 2015 BS PHAT LOCâž–#BS_89986 (Phat cuu, Phat loc, extremely feng shui) âž–CLA200 produced in 2014 and rolled out in 2015 âž–Black exterior, Black interiorâž–On wheels only 6 thousand âž–Included Crashed and flooded âž–National brand test included âž–Very nice original car quality, Standard Bank support 300 million",Mercedes-Benz,CLA200,2014.0,Mercedes Benz CLA class CLA 200 2014,600 Million,https://bonbanh.com/xe-mercedes_benz-cla_class-cla-200-2014-4775163,0.6
6549,6549,4782673,Imported,Used car,Convertible/Cabriolet,1,White,Red,2,4,Petrol,2.0,Automatic,RFD - Rear-wheel drive,9.0,"BMW 420i Convertible model 2017âœ“ White color with red interior.âœ“ Manufactured in 2016âœ“ Engine: 2.0L Turbo 211HP 9-speed transmission.âœ“ Vehicle equipped: Nearly 400 million in toy money, 19 inch M437 wheels, Digital screen, Monitor NPT entertainment figure, M4 body, on/off exhaust, front door, hard top, harman kardon speakers, LCI led headlights, M carbon steering wheel,...âœ“ Hong Phuc Auto commits to:âœ“ Support bank up to 70% of the car's value, quick procedure.âœ“ Guaranteed original machinery, no collisions, no flooding.âœ“ Accept car exchanges and exchanges.âœ“ Especially accept buying used cars at the highest price on the market , there is a commission for tipsters.#BMW_420i_Convertible",BMW,4_Series,2016.0,BMW 4 Series 420i Convertible 2016,Billion 470 Million,https://bonbanh.com/xe-bmw-4_series-420i-convertible-2016-4782673,0.47
6552,6552,4782751,Domestic assembly,Used car,Sedan,4,Green,Grey,4,5,Petrol,1.4,Automatic,FWD - Front-wheel drive,0.0,"Kia Soluto 2020 officially entered the Vietnamese auto market in September 2019, replacing its brother Kia Rio, which previously participated in the B-class sedan segment battle in Vietnam. In the Vietnamese market, Kia Soluto is assembled and distributed by Thaco Truong Hai",Kia,Soluto,2020.0,Kia Soluto 1.4 AT Deluxe 2020 car,430 Million,https://bonbanh.com/xe-kia-soluto-1.4-at-deluxe-2020-4782751,0.43
6557,6557,4782974,Domestic assembly,Used car,SUV,30,White,Black,5,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,9.4,"Glc 200 white nt black. Sx 2022 surfs 30km - Equipment: New generation MBUX entertainment system with 10.25-inch touch screen; Bluetooth connection; LINGUATRONIC voice control function â€“ activated via the command â€œHey Mercedesâ€. Cruise Control speed control function with SPEEDTRONIC allows adjusting the desired maximum speed in speed-restricted areas. Vehicle does not crash, Does not flood, Sells with warranty, Supports buying cars in installments , Brand test bags,....If you need to contact us for more detailed information!",Mercedes-Benz,GLC200,2022.0,Mercedes Benz GLC 200 2022,1 Billion 836 Million,https://bonbanh.com/xe-mercedes_benz-glc-200-2022-4782974,1.836
6702,6702,4789089,Imported,Used car,Van/Minivan,68,Grey,Brown,5,7,Petrol,3.5,Automatic,FWD - Front-wheel drive,12.6," For sale 2007 Honda Odyssey, Grey color, imported from USA, Start/Stop engine starter, automatic transmission. Leather interior, 2 electric seats, 2 electric doors, sunroof, full options, full equipment... extremely quiet engine. The car has not crashed and is not flooded 90%. The owner needs to sell a notarized certificate quickly, 30 seconds. Receiving a willing buyer.",Honda,Odyssey,2007.0,Honda Odyssey EX-L 3.5 AT 2007,308 Million,https://bonbanh.com/xe-honda-odyssey-ex-l-3.5-at-2007-4789089,0.308
6725,6725,4790347,Domestic assembly,Used car,SUV,30,Black,Brown,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4,"Commitment: Full company history, 1 owner with VAT exported 70% bank support, simple procedures âœ“Transparent vehicle origin, no damage due to accidents.âœ“Vehicle meets Mercedes-Benz certified certificate. 110 technical test points. âœ“Warranty for 12 months, unlimited kilometers. âœ“Standard kilometers according to vehicle. If you are interested, please contact:",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 489 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4790347,2.489
6746,6746,4791157,Domestic assembly,Used car,Hatchback,1,White,Colorful,5,5,Petrol,1.25,Automatic,FWD - Front-wheel drive,8.3," New generation Kia MORNING GT line 2021 AT 1.25 Extremely beautiful, youthful, neat shape. Many high safety features. The car is equipped with many high-value toys, which also have a long warranty. The car still smells like new odo 19,000 km Instead of buying a new car, this is a reasonable choice within budget. Car is available for immediate delivery for Tet 2023",Kia,Morning,2021.0,Kia Morning GT-Line 2021,430 Million,https://bonbanh.com/xe-kia-morning-gt-line-2021-4791157,0.43
6748,6748,4791226,Domestic assembly,Used car,SUV,8,Red,Black,5,5,Petrol,2.0,Automatic,FWD - Front-wheel drive,9.3," Selling cx5 2.0 production 217 like new, anyone interested contact me for more information",Mazda,CX-5,2017.0,Mazda CX5 2.0 AT 2017,630 Million,https://bonbanh.com/xe-mazda-cx5-2.0-at-2017-4791226,0.63
6773,6773,4795181,Domestic assembly,Used car,Truck,1,Grey,Grey,2,3,Diesel,0.0,Manual,RFD - Rear-wheel drive,12.0,Hello spring. I need to sell it. I'm using it to make garments. Now I'm thinking about changing industries and want to liquidate it,Kia,K3000S,2004.0,Kia K3000S p 2004,135 Million,https://bonbanh.com/xe-kia-k3000s-p-2004-4795181,0.135
6789,6789,4796970,Domestic assembly,Used car,Sedan,40,Black,Grey,4,5,Petrol,1.8,Manual,FWD - Front-wheel drive,7.3," 1 owner car in good condition, fuel efficient, solid chassis, new standard screen from a 2021 Fotuner, new clutch and some worn out parts have been replaced. Selling due to need for money. .",Toyota,Corolla_altis,2005.0,Toyota Corolla altis 1.8G MT 2005,222 Million,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-mt-2005-4796970,0.222
6791,6791,4797585,Domestic assembly,Used car,Hatchback,22,Sand,Grey,5,5,Petrol,1.25,Manual,FWD - Front-wheel drive,8.3," I want to sell my Morning car, 2018 full version, family car, kept like new, don't drive a taxi.",Kia,Morning,2018.0,Kia Morning Si MT 2018 car,270 Million,https://bonbanh.com/xe-kia-morning-si-mt-2018-4797585,0.27
6825,6825,4799251,Imported,Used car,SUV,13,White,Black,5,7,Petrol,2.7,Automatic,4WD - Four-wheel drive (4WD),13.8,"Toyota Prado TXL 2.7L, SX 2014, white Full vehicle equipment: 4-spoke multi-function steering wheel, leather-wrapped, 4-way adjustable, 3-way independent automatic air conditioning system, Xenon lights, taillights LED, 6-spoke wheels, mirror turn signals. Reverse sensor, reversing camera, airbags around the car, ABS, EBD safety system,... 99% original car, guaranteed no collision, no flooding, nationwide testing included 1ty200",Toyota,Prado,2014.0,Toyota Prado TXL 2.7L 2014,1 Billion 200 Million,https://bonbanh.com/xe-toyota-prado-txl-2.7l-2014-4799251,1.2
6872,6872,4800095,Domestic assembly,Used car,SUV,50,Silver,Silver,5,8,Petrol,2.0,Manual,RFD - Rear-wheel drive,9.0,The family bought a new car so they sold the old car Jolie made in 2005.,Mitsubishi,Jolie,2005.0,Mitsubishi Jolie SS 2005,135 Million,https://bonbanh.com/xe-mitsubishi-jolie-ss-2005-4800095,0.135
6892,6892,4800322,Imported,Used car,Pickup,8,Copper,Brown,4,5,Diesel,2.8,Automatic,4WD - Four-wheel drive (4WD),11.4," For sale Colorado high country 4x4, full automatic 2-wheel drive version, car in personal name, 1 owner from new, odo 80,000, very nice interior and exterior, spare parts not yet installed, original engine, chassis, body and shell",Chevrolet,Colorado High Country,2016.0,Chevrolet Colorado High Country 2.8L 4x4 AT 2016,450 Million,https://bonbanh.com/xe-chevrolet-colorado-high-country-2.8l-4x4-at-2016-4800322,0.45
6968,6968,4801580,Domestic assembly,Used car,Sedan,40,White,White,4,5,Petrol,2.0,Automatic,FWD - Front-wheel drive,7.4," Huyndai Elentra 2.0 AT 2020 surfs 40,000, family car without crashing or flooding - Starter sunroof with 2 Motes left - 10-way electric driver's seat - 2-zone independent air conditioning...Anyone please call to see it live",Hyundai,Elantra,2020.0,Hyundai Elantra 2.0 AT 2020,575 Million,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2020-4801580,0.575
7038,7038,4802903,Domestic assembly,Used car,SUV,50,White,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4, Color: Black - Interior: Brown Color: White - Interior: Black â–ªï¸ Vehicle condition: - Vehicle has Saigon License Plate - New rolls: 50 km - Manufactured: 2022 - Registered 2022 - Genuine warranty by 2025,Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 519 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4802903,2.519
7118,7118,4803499,Domestic assembly,Used car,Hatchback,6,Green,Black,5,5,Petrol,1.5,Automatic,FWD - Front-wheel drive,7.6," I'm selling a 2015 mazda3 habak with more than 6v, brand new tires, 1 owner from new, full factory maintenance, then I'll pay 50 million! Who wants to see the car in person!",Mazda,3,2015.0,Mazda 3 1.5 AT 2015,440 Million,https://bonbanh.com/xe-mazda-3-1.5-at-2015-4803499,0.44
7155,7155,4803871,Domestic assembly,Used car,Hatchback,62,Grey,Grey,5,5,Petrol,1.25,Manual,FWD - Front-wheel drive,8.3, Selling morning si. car manufactured in 2016 with full manual transmission. 100% original car quality. nine owner car.,Kia,Morning,2016.0,Kia Morning Si MT 2016 car,230 Million,https://bonbanh.com/xe-kia-morning-si-mt-2016-4803871,0.23
7373,7373,4805286,Imported,Used car,Pickup,30,Silver,Grey,4,5,Diesel,3.0,Manual,4WD - Four-wheel drive (4WD),6.0," need to sell Hilux 3.0 4x4 agency liquidation vehicle, full invoices, decisions, very nice car, original engine. Extremely quiet and fuel efficient, 2-way air conditioning. The base is solid. The car has no flaws. Priced to sell quickly to the right person. Thank you for reading.",Toyota,Hilux,2011.0,Toyota Hilux 3.0G 4x4 MT 2011,328 Million,https://bonbanh.com/xe-toyota-hilux-3.0g-4x4-mt-2011-4805286,0.328
7529,7529,4806572,Domestic assembly,Used car,Sedan,7,Grey,Grey,4,5,Petrol,1.8,Automatic,FWD - Front-wheel drive,7.8, chevrolet cruze 2015 . Ltz 1.8 . Interior and exterior like new. Full options. See the car to feel it,Chevrolet,Cruze,2015.0,Chevrolet Cruze LTZ 1.8 AT 2015,358 Million,https://bonbanh.com/xe-chevrolet-cruze-ltz-1.8-at-2015-4806572,0.358
7636,7636,4807294,Domestic assembly,Used car,Sedan,10,White,Black,4,5,Petrol,2.0,Automatic,FWD - Front-wheel drive,7.7," Mazda 6 produced 2015, private name, one owner from new, I'm interested. Hello",Mazda,6,2015.0,Mazda 6 2.0 AT 2015,510 Million,https://bonbanh.com/xe-mazda-6-2.0-at-2015-4807294,0.51
7962,7962,4810088,Domestic assembly,Used car,SUV,10,Black,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4," - Mercedes GLC200 4Matic for sale, latest V1 version, manufactured and registered in 2022. - Vehicle only registered with license plate, then stored, 100% brand new. Save 10% on registration tax, title transfer and license plate. New number V1 version car upgraded with Keyless-Go smart key and Boot boot commitment: â€¢ Issue invoice with full 3-year warranty, unlimited Km. â€¢ Bank provides financial support of 70% with preferential interest rate treat.",Mercedes-Benz,GLC200,2022.0,Mercedes Benz GLC 200 4Matic 2022,2 Billion 120 Million,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2022-4810088,2.12
7963,7963,4810095,Domestic assembly,Used car,SUV,10,White,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4,">> GLC200 4Matic, latest V1 version, manufactured and registered in 2022. Vehicle only registered with license plate, then stored, 100% brand new (BRAND CAR) - Save 10% on registration tax, title transfer and new license plate - V1 version car upgraded with Keyless-Go smart key and boot âœ“ Mercedes Phu My Hung commits to: â€¢ Issue an invoice to commit to a full 03-year warranty, unlimited Km. â€¢ Bank supports 70% financial support with preferential interest rates.",Mercedes-Benz,GLC200,2022.0,Mercedes Benz GLC 200 4Matic 2022,2 Billion 120 Million,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2022-4810095,2.12
7966,7966,4810114,Domestic assembly,Used car,SUV,20,White,Cream,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4," For sale GLC200 4Matic, latest V1 version, manufactured and registered in 2022. Vehicle only registered with license plate, then stored, 100% brand new (BRAND CAR) - Save 10% on registration tax, title transfer and new license plate - V1 version car upgraded with Keyless-Go smart key and trunk kick",Mercedes-Benz,GLC200,2022.0,Mercedes Benz GLC 200 4Matic 2022,2 Billion 119 Million,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2022-4810114,2.119
7989,7989,4810313,Imported,Used car,SUV,1,White,Brown,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),0.0," RANGE ROVER EVOQUE manufactured in 2012 Hanoi Sea Odo: 6.5 v milesâœ“ Commitment to no collision, no flooding, original engine.âœ“ Support for legal procedures for title transfer and moving.âœ“ Includes inspection and testing nationwide investigation.",LandRover,Range_Rover_Evoque,2012.0,LandRover Range Rover Evoque Prestige 2012,980 Million,https://bonbanh.com/xe-landrover-range_rover_evoque-prestige-2012-4810313,0.98
8035,8035,4810642,Domestic assembly,Used car,SUV,15,Black,Brown,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4," Need to liquidate the super fast 2022 GLC300 AMG, V1 version, only registered and stored (BRAND CAR) Save more than 10% on title transfer and new license plate costs âœ“ Commitment: - Car has standard kilometers, no tampering, never been collision and scratches, 100% original paint - Genuine 3-year warranty with unlimited Km - Installment payment support with preferential interest rates",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 519 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4810642,2.519
8051,8051,4810704,Domestic assembly,Used car,SUV,15,White,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4," GLC300 AMG super glider 2022, V1 version, registration and storage only. Save more than 10% on title transfer and new license plate costs. âœ“ Commitment: - Genuine 3-year warranty with unlimited Km - Installment payment support with Preferential interest rate",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 515 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4810704,2.515
8085,8085,4811103,Domestic assembly,Used car,SUV,12,Green,Grey,5,5,Petrol,1.3,Manual,4WD - Four-wheel drive (4WD),8.1," Terios 2004, registered 2005, 2 bridges, just inspected, original owner, car consumes 4.5 liters of gas per 100 km, very nice car, with Android screen. If you are interested, please contact us for more information.",Daihatsu,Terios,2004.0,Daihatsu Terios 1.3 4x4 MT 2004,135 Million,https://bonbanh.com/xe-daihatsu-terios-1.3-4x4-mt-2004-4811103,0.135
8156,8156,4811755,Domestic assembly,Used car,Hatchback,82,Red,Black,5,5,Petrol,2.0,Automatic,FWD - Front-wheel drive,7.0, need to change to a 7-seat car so I need to replace the bass for those who need a car to get around at a reasonable price. Genuine regular vehicle maintenance. How many technicians test at the company? Slight negotiation for those interested. filter leaves at the beginning of the year. governmental vehicles,Ford,Focus,2008.0,Ford Focus S 2.0 AT 2008,240 Million,https://bonbanh.com/xe-ford-focus-s-2.0-at-2008-4811755,0.24
8161,8161,4811807,Domestic assembly,Used car,SUV,18,Grey,Grey,5,8,Petrol,1.6,Automatic,RFD - Rear-wheel drive,10.9," Family needs to sell automatic Suzuki APV! In perfect use, all leather interior, heat insulation film, Android screen, HD mirror dash cam, air sub, tire pressure sensor! Undercarriage paint! If you buy it, just fill it up with gas and go! Car registered in 2007",Suzuki,APV,2006.0,Suzuki APV GLX 1.6 AT 2006,160 Million,https://bonbanh.com/xe-suzuki-apv-glx-1.6-at-2006-4811807,0.16
8318,8318,4814436,Domestic assembly,Used car,Sedan,20,Black,Black,4,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,8.7," Newly registered, never driven car in the name of genuine Mercedes company - Car available for immediate delivery - Buy in cash and get an additional % discount - Save more with a new car of nearly 200 million",Mercedes-Benz,E200,2022.0,Mercedes Benz E class E200 Exclusive 2022,2 Billion 369 Million,https://bonbanh.com/xe-mercedes_benz-e_class-e200-exclusive-2022-4814436,2.369
8323,8323,4814468,Domestic assembly,Used car,Sedan,20,Grey,Brown,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,4.4, Exterior: Grey - Interior: brown- Odo: 25 km- Genuine warranty until 2026- Car in company name with high financial invoice (Price saving 180 million compared to new car)- Additional incentives for customers buy cash,Mercedes-Benz,C200,2022.0,Mercedes Benz C class C200 Avantgarde Plus 2022,1 Billion 879 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-plus-2022-4814468,1.879
8472,8472,4815643,Imported,Used car,Pickup,3,Yellow,Brown,4,5,Diesel,2.2,Automatic,RFD - Rear-wheel drive,10.8, Imported xls. 2015 1-wheel automatic transmission. The price is as soft as noodles. Guaranteed original car. Do not crash or flood,Ford,Ranger,2015.0,Ford Ranger XLS 2.2L 4x2 AT 2015,450 Million,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2015-4815643,0.45
8591,8591,4816453,Imported,Used car,Sedan,30,Black,Black,4,5,Petrol,3.0,Automatic,AWD - 4-wheel drive (AWD),3.7,"Selling genuine used carsMercedes_S450_4Matic_2022 Year of manufacture: 2022Imported from ThailandColor Black/Black interior. Only driven 30 km. (99.99% new) The car is as beautiful as new, with genuine warranty until the end of 2025.â–ªï¸Name of the company issuing the invoice. Genuine used Mercedes cars are committed to: No collisions, no flooding, standard kilometers, no overturns, error-free vehicles. Price up to 600 million cheaper than new cars, same model, same year of manufacture and same new quality. Bank Support 70% of car value. Call to see the car and test drive it.",Mercedes-Benz,S450,2022.0,Mercedes Benz S class S450 4Matic 2022,4 Billion 989 Million,https://bonbanh.com/xe-mercedes_benz-s_class-s450-4matic-2022-4816453,4.989
8630,8630,4816737,Imported,Used car,Sedan,30,Green,Cream,4,5,Petrol,3.0,Automatic,AWD - 4-wheel drive (AWD),3.7," Selling genuine used cars Mercedes_S450_4Matic_2022 Year of manufacture: 2022 Imported from Germany, Blue color/Cream interior. Just ran 30 km. (up to 99.99% new) The car is as beautiful as new, with genuine warranty until the end of 2025. + Invoice company name. Genuine used Mercedes cars are committed to: No collisions, no flooding, standard kilometers, no overturns, error-free vehicles. Selling price is up to 300 million cheaper than new cars, cars of the same model, same year, same year of manufacture and same new quality. Bank The product supports 70% of the car's value. Call to see the car and test drive it.",Mercedes-Benz,S450,2022.0,Mercedes Benz S class S450 4Matic 2022,5 Billion 250 Million,https://bonbanh.com/xe-mercedes_benz-s_class-s450-4matic-2022-4816737,5.25
8681,8681,4817094,Domestic assembly,Used car,Sedan,50,Black,Black,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,4.4," C200 avantgarde 2022- Year of production: 2022- Registration: October 2022- ODO: 50 km- Black - black seat interior- Genuine 3-year warranty until October 2025-* Genuine used car Mercedes Benz.* The car is inspected through 110 comprehensive steps and certified according to genuine standards by Mercedes Benz.* 3-year warranty with unlimited km.* Guaranteed original car, never crashed or hydro-damaged .* Vehicle is periodically inspected and maintained according to genuine standards.* Test drive at home - vehicle delivered nationwide",Mercedes-Benz,C200,2022.0,Mercedes Benz C class C200 Avantgarde 2022,1 Billion 595 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2022-4817094,1.595
8693,8693,4817176,Domestic assembly,Used car,Sedan,50,Black,Brown,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,4.4," C200 Plus V1 version - Year of production: 2022 - Registration: January 2023 - ODO: 50 km - Black - brown seat interior - Genuine 3 year warranty until January 2026 - * Genuine used car Mercedes Benz brand.* The car is inspected 110 steps overall and certified according to genuine standards by Mercedes Benz.* 3-year warranty with unlimited km.* Guaranteed original car, never crashed or damaged. jack.* Vehicle is periodically inspected and maintained according to genuine standards.* Test drive at home - vehicle delivered nationwide",Mercedes-Benz,C200,2022.0,Mercedes Benz C class C200 Avantgarde Plus 2022,1 Billion 830 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-plus-2022-4817176,1.83
